Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
2/5/2024,188.1500,189.2500,185.8400,187.6800,69668800,1.00250,1.0084,0.9902,2.02,1.93,0.09,4.6632,0.0108,0.0103,0.0005,0.0248
2/2/2024,179.8600,187.3300,179.2500,185.8500,102518000,0.96777,1.0080,0.9645,2.02,1.93,0.09,4.6632,0.0109,0.0104,0.0005,0.0251
2/1/2024,183.9900,186.9500,183.8200,186.8600,64885400,0.98464,1.0005,0.9837,2.02,1.93,0.09,4.6632,0.0108,0.0103,0.0005,0.0250
1/31/2024,187.0400,187.1000,184.3500,184.4000,55467800,1.01432,1.0146,0.9997,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0273
1/30/2024,190.9400,191.8000,187.4700,188.0400,55859400,1.01542,1.0200,0.9970,1.46,1.39,0.07,5.036,0.0078,0.0074,0.0004,0.0268
1/29/2024,192.0100,192.2000,189.5800,191.7300,47145600,1.00146,1.0025,0.9888,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0263
1/26/2024,194.2700,194.7600,191.9400,192.4200,44594000,1.00961,1.0122,0.9975,1.46,1.39,0.07,5.036,0.0076,0.0072,0.0004,0.0262
1/25/2024,195.2200,196.2700,193.1100,194.1700,54822100,1.00541,1.0108,0.9945,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0259
1/24/2024,195.4200,196.3800,194.3400,194.5000,53631300,1.00473,1.0097,0.9992,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0259
1/23/2024,195.0200,195.7500,193.8300,195.1800,42355600,0.99918,1.0029,0.9931,1.46,1.39,0.07,5.036,0.0075,0.0071,0.0004,0.0258
1/22/2024,192.3000,195.3300,192.2600,193.8900,60133900,0.99180,1.0074,0.9916,1.46,1.39,0.07,5.036,0.0075,0.0072,0.0004,0.0260
1/19/2024,189.3300,191.9500,188.8200,191.5600,68741000,0.98836,1.0020,0.9857,1.46,1.39,0.07,5.036,0.0076,0.0073,0.0004,0.0263
1/18/2024,186.0900,189.1400,185.8300,188.6300,78005800,0.98653,1.0027,0.9852,1.46,1.39,0.07,5.036,0.0077,0.0074,0.0004,0.0267
1/17/2024,181.2700,182.9300,180.3000,182.6800,47317400,0.99228,1.0014,0.9870,1.46,1.39,0.07,5.036,0.0080,0.0076,0.0004,0.0276
1/16/2024,182.1600,184.2600,180.9300,183.6300,65603000,0.99199,1.0034,0.9853,1.46,1.39,0.07,5.036,0.0080,0.0076,0.0004,0.0274
1/12/2024,186.0600,186.7400,185.1900,185.9200,40444700,1.00075,1.0044,0.9961,1.46,1.39,0.07,5.036,0.0079,0.0075,0.0004,0.0271
